date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2012_01_01 00:02:14	34.30	30.50	26.90	74.20	346.40	11.00	 3.60
2012_01_01 00:08:29	34.10	30.50	26.50	73.60	349.00	12.00	 8.00
2012_01_01 00:14:45	33.90	30.60	26.80	75.00	217.80	12.00	 9.20
2012_01_01 00:21:00	33.80	30.60	27.30	76.60	280.80	17.00	14.00
2012_01_01 00:27:16	33.90	30.60	27.40	77.00	80.60	17.00	 9.20
2012_01_01 00:33:31	33.80	30.60	27.00	76.00	11.00	17.00	12.20
2012_01_01 00:39:46	33.60	30.60	27.10	76.60	81.00	15.00	10.80
2012_01_01 00:46:01	33.40	30.60	26.40	75.20	18.40	15.00	11.60
2012_01_01 00:52:16	33.40	30.50	27.10	77.40	20.40	15.00	12.40
2012_01_01 00:58:32	33.30	30.50	27.10	77.80	17.20	15.00	11.80
2012_01_01 01:04:48	33.30	30.50	27.40	78.40	11.40	16.00	13.80
2012_01_01 01:11:03	33.40	30.50	27.20	77.80	148.20	16.00	11.80
2012_01_01 01:17:19	33.50	30.60	27.80	79.20	353.20	17.00	14.00
2012_01_01 01:23:34	33.70	30.60	27.60	78.00	354.40	17.00	12.80
2012_01_01 01:29:50	34.00	30.60	26.70	74.40	336.00	17.00	 7.00
2012_01_01 01:36:06	34.00	30.60	26.40	73.20	351.00	 8.00	 5.00
2012_01_01 01:42:22	34.00	30.60	27.00	75.40	350.20	15.00	10.00
2012_01_01 01:48:37	33.50	30.60	26.50	75.20	218.60	17.00	10.00
2012_01_01 01:54:52	33.40	30.60	26.80	76.20	77.20	17.00	13.80
2012_01_01 02:01:08	33.10	30.60	26.10	75.00	356.00	19.00	12.40
2012_01_01 02:07:24	33.10	30.60	26.70	77.00	147.60	14.00	10.80
2012_01_01 02:13:39	33.20	30.60	27.00	77.80	78.20	14.00	 9.80
2012_01_01 02:19:56	33.20	30.60	26.90	77.40	21.40	14.00	10.20
2012_01_01 02:26:18	33.30	30.60	26.50	75.80	22.60	16.00	10.40
2012_01_01 02:32:34	33.30	30.60	26.00	74.40	20.60	16.00	10.20
2012_01_01 02:38:49	33.30	30.60	26.10	74.60	149.80	17.00	 9.60
2012_01_01 02:45:04	33.30	30.60	26.20	74.80	77.60	18.00	12.60
2012_01_01 02:51:23	33.40	30.60	26.20	74.80	148.80	18.00	12.40
2012_01_01 02:57:38	33.30	30.60	26.10	74.60	150.20	18.00	12.60
2012_01_01 03:03:55	33.40	30.60	26.30	74.80	15.40	18.00	12.00
2012_01_01 03:10:23	33.50	30.60	26.20	74.40	83.00	18.00	13.60
2012_01_01 03:16:50	33.30	30.60	26.70	76.20	281.40	18.00	12.80
2012_01_01 03:23:13	33.20	30.60	26.80	76.80	284.60	18.00	11.80
2012_01_01 03:29:41	33.30	30.60	26.90	77.20	217.00	18.00	14.00
2012_01_01 03:37:18	33.30	30.60	26.70	76.40	 8.80	16.00	13.40
2012_01_01 03:43:39	33.20	30.60	26.60	76.40	148.40	17.00	14.00
2012_01_01 03:49:55	33.40	30.60	27.40	78.40	216.00	18.00	12.40
2012_01_01 03:56:11	33.10	30.60	26.60	76.80	150.20	18.00	13.20
2012_01_01 04:10:16	32.90	30.60	26.50	77.00	150.60	16.00	10.80
2012_01_01 04:16:31	33.00	30.60	26.50	76.60	217.80	17.00	13.60
2012_01_01 04:22:46	33.10	30.60	26.60	76.40	346.60	17.00	12.20
2012_01_01 04:29:01	33.20	30.60	26.20	75.20	276.80	17.00	 7.60
2012_01_01 04:35:17	33.20	30.60	26.60	76.40	10.60	13.00	 9.60
2012_01_01 04:41:33	33.10	30.60	26.50	76.40	81.20	14.00	10.40
2012_01_01 04:47:48	33.00	30.60	26.60	77.00	81.60	14.00	 8.80
2012_01_01 04:56:03	33.00	30.60	26.50	76.60	19.20	14.00	 8.60
2012_01_01 05:02:19	33.00	30.60	26.50	76.80	221.80	15.00	10.60
2012_01_01 05:08:35	33.00	30.60	26.90	78.00	214.20	15.00	10.20
2012_01_01 05:14:50	33.20	30.60	27.00	77.80	147.20	15.00	12.00
2012_01_01 05:21:05	33.00	30.60	26.70	77.20	218.00	16.00	13.60
2012_01_01 05:27:21	33.10	30.60	27.10	78.20	285.60	16.00	13.40
2012_01_01 05:33:36	32.90	30.60	26.50	77.00	210.80	17.00	12.00
2012_01_01 05:39:52	32.90	30.60	26.70	77.80	11.00	17.00	13.00
2012_01_01 05:46:08	32.80	30.60	26.60	77.60	79.60	17.00	12.60
2012_01_01 05:52:24	33.10	30.60	26.90	77.80	148.20	17.00	13.60
2012_01_01 05:58:39	33.00	30.60	26.70	77.20	13.60	17.00	13.80
2012_01_01 06:04:54	33.10	30.60	26.80	77.40	14.80	17.00	11.80
2012_01_01 06:11:10	32.80	30.60	26.40	76.80	75.80	16.00	11.80
2012_01_01 06:17:25	32.80	30.60	26.80	78.20	146.80	16.00	11.80
2012_01_01 06:23:51	32.70	30.60	26.40	77.40	217.00	17.00	13.80
2012_01_01 06:30:09	32.90	30.60	26.80	77.80	 5.80	17.00	14.40
2012_01_01 06:36:28	32.90	30.60	26.90	78.40	147.00	17.00	14.00
2012_01_01 06:42:44	32.70	30.60	26.60	78.00	78.60	17.00	13.80
2012_01_01 06:48:59	32.40	30.60	26.00	76.80	211.20	17.00	10.40
2012_01_01 06:55:16	32.40	30.60	26.00	77.00	347.80	17.00	10.40
2012_01_01 07:01:31	32.70	30.60	26.80	78.60	215.40	17.00	12.20
2012_01_01 07:07:47	32.60	30.60	26.30	77.20	146.00	15.00	12.00
2012_01_01 07:14:03	32.40	30.60	25.90	76.60	76.60	15.00	12.20
2012_01_01 07:20:18	32.40	30.60	26.20	77.40	10.40	15.00	10.40
